bank,id,topic,syllabus_ref,difficulty,is_hazard,prompt_en,prompt_my,prompt_ja,choice_a_en,choice_b_en,choice_c_en,choice_a_my,choice_b_my,choice_c_my,choice_a_ja,choice_b_ja,correct_answer,explanation_en,explanation_my,explanation_ja,hazard_p1_en,hazard_p1_answer,hazard_p2_en,hazard_p2_answer,hazard_p3_en,hazard_p3_answer,image_filename,media_src,verified,reviewer_notes
sg_btt,sg_btt_0097,safe_practices,btt.rules.seatbelt,easy,,"Before starting a journey, which check is most important for safety?",ခရီးစထွက်မီ မည်သည့်စစ်ဆေးမှုသည် ဘေးကင်းရေးအတွက် အရေးကြီးဆုံးဖြစ်သလဲ။,,"Adjust the mirrors and seat, and fasten the seatbelt",Check the radio station,Clean the dashboard,ကြေးမှန်များနှင့် ထိုင်ခုံကို ညှိပြီး ဘေးလုံခြုံကြိုးကို တပ်ပါ,ရေဒီယိုလိုင်းကို စစ်ပါ,ဒက်ရှ်ဘုတ်ကို သန့်ရှင်းရေးလုပ်ပါ,,,A,"Correctly adjusted mirrors and seating position, plus a fastened seatbelt, are basic safety steps that should be done before every journey.",ကြေးမှန်များနှင့် ထိုင်ခုံကို မှန်ကန်စွာညှိခြင်းနှင့် ဘေးလုံခြုံကြိုးတပ်ခြင်းသည် ခရီးတိုင်းမတိုင်မီ လုပ်ဆောင်ရမည့် အခြေခံ ဘေးကင်းရေးအဆင့်များဖြစ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0098,safe_practices,btt.rules.parking,easy,,Why should a driver check tyre pressure regularly?,ယာဉ်မောင်းသူတစ်ဦးသည် ဘီးလေဖိအား ပုံမှန်စစ်ဆေးသင့်သည် ဘာကြောင့်လဲ။,,"Incorrect tyre pressure affects grip, braking distance, and fuel consumption",It only affects the appearance of the tyre,It has no effect on driving safety,မှားယွင်းသော ဘီးလေဖိအားသည် ဘီးကိုက်မှု၊ ဘရိတ်ကြောင့်ရပ်ရန်အကွာအဝေးနှင့် လောင်စာစားသုံးမှုကို ထိခိုက်စေသည်,ဘီးပုံပန်းသဏ္ဍာန်ကိုသာ ထိခိုက်စေသည်,ယာဉ်မောင်းနှင်ရေးဘေးကင်းမှုကို လုံးဝမထိခိုက်ပါ,,,A,"Under- or over-inflated tyres reduce grip and increase stopping distance, and can also raise fuel consumption — regular checks help keep the vehicle safe and efficient.",ဘီးလေဖိအား နည်းလွန်း သို့မဟုတ် များလွန်းခြင်းသည် ဘီးကိုက်မှုကို လျော့စေပြီး ရပ်ရန်အကွာအဝေးကို တိုးစေသည်၊ လောင်စာစားသုံးမှုကိုလည်း မြင့်တက်စေနိုင်သည် — ပုံမှန်စစ်ဆေးခြင်းသည် ယာဉ်ကို ဘေးကင်းပြီး ထိရောက်စွာ ထားရှိစေသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0099,safe_practices,btt.signs.warning,medium,,What does the dashboard warning light shaped like an exclamation mark inside a circle (often red or yellow) usually indicate?,ဒက်ရှ်ဘုတ်ပေါ်ရှိ စက်ဝိုင်းအတွင်း အမှတ်ပုံစံ (များသောအားဖြင့် အနီ သို့မဟုတ် အဝါရောင်) သတိပေးမီးသည် ပုံမှန်အားဖြင့် ဘာကို ညွှန်ပြသလဲ။,,A general fault warning — check the vehicle manual or have it inspected promptly,It always means the fuel tank is empty,It is purely decorative and can be ignored,ပုံမှန်အပျက်အယွင်း သတိပေးမီး — ယာဉ်လက်စွဲကို စစ်ဆေးပါ သို့မဟုတ် မြန်မြန်ဆန်ဆန် စစ်ဆေးခိုင်းပါ,လောင်စာဗူးအချည်းနှီးဖြစ်ကြောင်း အမြဲတမ်း ညွှန်ပြသည်,ဒီသည် အလှသက်သက်သာဖြစ်ပြီး လျစ်လျူရှုနိုင်သည်,,,A,A generic warning light (e.g. brake system or general fault) should never be ignored — drivers should check the manual and have the vehicle inspected as soon as possible.,ယေဘုယျ သတိပေးမီး (ဥပမာ ဘရိတ်စစ်စ်တမ် သို့မဟုတ် ယေဘုယျအပျက်) ကို လျစ်လျူမရှုသင့်ပါ — ယာဉ်မောင်းသူသည် လက်စွဲကိုစစ်ဆေးပြီး အမြန်ဆုံး ယာဉ်ကို စစ်ဆေးခိုင်းသင့်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0100,safe_practices,btt.signs.mandatory,easy,,"Why must all passengers, including those in the rear seats, wear seatbelts?",နောက်ဘက်ထိုင်ခုံတွင် ထိုင်သူများပါမက ယာဉ်စီးနေသူအားလုံး ဘေးလုံခြုံကြိုးတပ်ရသည် ဘာကြောင့်လဲ။,,Seatbelts reduce the risk of serious injury in a collision for every seat in the vehicle,Only the driver's seatbelt matters for safety,Rear seatbelts are optional decoration,ဘေးလုံခြုံကြိုးသည် ယာဉ်တွင်းရှိ ထိုင်ခုံတိုင်းအတွက် တိုက်မိမှုဖြစ်ပါက ပြင်းထန်သော ဒဏ်ရာရရှိနိုင်ခြေကို လျှော့ချသည်,ယာဉ်မောင်းသူ၏ ဘေးလုံခြုံကြိုးသာ ဘေးကင်းရေးအတွက် အရေးကြီးသည်,နောက်ဘက်ဘေးလုံခြုံကြိုးများသည် ရွေးချယ်ခွင့်ရှိသော အလှပစ္စည်းသာဖြစ်သည်,,,A,"In a collision, an unbelted rear passenger can be thrown forward with great force, injuring themselves and others — all seats require seatbelts by law.",တိုက်မိမှုဖြစ်ပါက ဘေးလုံခြုံကြိုးမတပ်သော နောက်ဘက်ခရီးသွားသည် အင်အားကြီးစွာ ရှေ့သို့လွင့်ထွက်ကာ မိမိနှင့် အခြားသူများကို ဒဏ်ရာရစေနိုင်သည် — ထိုင်ခုံတိုင်းတွင် ဥပဒေအရ ဘေးလုံခြုံကြိုး တပ်ရမည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0101,safe_practices,legacy.safe_practices,medium,,"What is the safe minimum tread depth for car tyres, below which the tyre is considered unroadworthy?",ကားဘီးများအတွက် ဘေးကင်းသော အနိမ့်ဆုံး ဘီးအကြောင်အနက် (tread depth) ဘယ်လောက်ဖြစ်ပြီး ၎င်းအောက်ဖြစ်လျှင် လမ်းမသွားသင့်တော့ဟု သတ်မှတ်သလဲ။,,1.6 mm,5 mm,10 mm,၁.၆ မီလီမီတာ,၅ မီလီမီတာ,၁၀ မီလီမီတာ,,,A,"Tyres worn below 1.6 mm tread depth lose grip significantly, especially in wet conditions, and are not roadworthy.",ဘီးအကြောင်အနက် ၁.၆ မီလီမီတာအောက် ပျက်စီးနေပါက ဘီးကိုက်မှု သိသိသာသာ လျော့ကျသွားပြီး၊ အထူးသဖြင့် မိုးရွာချိန်တွင် လမ်းမသွားသင့်ပါ။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0102,safe_practices,btt.rules.mobile,easy,,Why is it unsafe to use a mobile phone (without hands-free) while driving?,ယာဉ်မောင်းနှင်ချိန် (hands-free မရှိသော) မိုဘိုင်းလ်ဖုန်းကို အသုံးပြုခြင်းသည် ဘေးကင်းမှုမရှိသည် ဘာကြောင့်လဲ။,,It distracts attention from the road and reduces reaction time,It has no effect on driving performance,"It is only dangerous for motorcyclists, not car drivers",လမ်းပေါ်မှ အာရုံပျံ့လွင့်စေပြီး တုံ့ပြန်အချိန်ကို လျှော့ချစေသည်,ယာဉ်မောင်းနှင်မှုစွမ်းရည်ကို လုံးဝမထိခိုက်ပါ,ဆိုင်ကယ်မောင်းသူများအတွက်သာ အန္တရာယ်ရှိပြီး ကားမောင်းသူများအတွက် မဟုတ်ပါ,,,A,"Handling a phone takes the driver's eyes, hands, and mental focus away from the road, significantly increasing the chance of an accident.",ဖုန်းကိုင်ဆောင်ခြင်းသည် ယာဉ်မောင်းသူ၏ မျက်စိ၊ လက်နှင့် အာရုံစူးစိုက်မှုကို လမ်းပေါ်မှ ဖယ်ထွက်စေပြီး မတော်တဆမှု ဖြစ်နိုင်ခြေကို သိသိသာသာ တိုးစေသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0103,safe_practices,btt.signs.warning,medium,,What should a driver do if the engine oil warning light comes on while driving?,ယာဉ်မောင်းနှင်နေချိန် အင်ဂျင်ဆီသတိပေးမီး လင်းလာလျှင် ယာဉ်မောင်းသူ ဘာလုပ်သင့်သလဲ။,,Stop safely as soon as possible and check the oil level before continuing,Ignore it and continue the journey as planned,Increase speed to reach the destination faster,နိုင်နင်းသမျှ မြန်မြန် ဘေးကင်းစွာ ရပ်ပြီး ဆက်မောင်းမီ ဆီအဆင့်ကို စစ်ဆေးပါ,လျစ်လျူရှုပြီး ခရီးအစီအစဉ်အတိုင်း ဆက်သွားပါ,ပိုမြန်မြန် ဆုံတင်ရောက်ရန် အရှိန်တိုးပါ,,,A,Continuing to drive with low oil pressure can seriously damage the engine; the safest action is to stop and check as soon as it's safe to do so.,ဆီဖိအားနိမ့်ချိန် ဆက်လက်မောင်းနှင်ခြင်းသည် အင်ဂျင်ကို ပြင်းထန်စွာ ပျက်စီးစေနိုင်သည် — ဘေးကင်းသည့်အချိန် ရပ်ပြီးစစ်ဆေးခြင်းသည် ဘေးကင်းဆုံးအလုပ်ဖြစ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0104,safe_practices,btt.rules.parking,hard,,What is the recommended action if a vehicle's brakes suddenly feel less responsive ('soft') while driving?,ယာဉ်မောင်းနှင်နေချိန် ဘရိတ်သည် ရုတ်တရက် တုံ့ပြန်မှုနည်းသွား ('နုံ့') လျှင် ဘာလုပ်သင့်သည်ကို အကြံပြုထားသလဲ။,,"Pump the brake pedal, downshift if possible, and steer safely to the roadside to stop",Accelerate to bypass the problem quickly,Turn off the engine immediately while still moving at speed,ဘရိတ်ခွေကို ပုံမှန်နှိပ်ပြီး၊ ဖြစ်နိုင်ပါက ဂီယာလျှော့ကာ ဘေးကင်းစွာ လမ်းဘေးသို့ ရပ်ပါ,ပြသနာကို မြန်မြန်ကျော်ဖြတ်ရန် အရှိန်တိုးပါ,အမြန်နှုန်းနှင့် ဆက်သွားနေစဉ် အင်ဂျင်ကို ချက်ချင်းပိတ်ပါ,,,A,"Pumping the brakes can build pressure in some systems, downshifting uses engine braking, and steering safely off the road avoids a collision while losing speed gradually.",ဘရိတ်ခွေကို ထပ်ခါထပ်ခါနှိပ်ခြင်းသည် ဖိအားကို တည်ဆောက်နိုင်ပြီး၊ ဂီယာလျှော့ခြင်းသည် အင်ဂျင်ဘရိတ်ကို အသုံးပြုနိုင်ကာ၊ ဘေးကင်းစွာ လမ်းဘေးသို့ ဦးတည်ခြင်းသည် အရှိန်ကျသွားချိန် တိုက်မိမှုကို ရှောင်ရှားနိုင်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0105,safe_practices,legacy.safe_practices,medium,,Why should the headrest be adjusted to be level with the top of the driver's head?,ခေါင်းအနားကိရိယာ (headrest) ကို ယာဉ်မောင်းသူ၏ ခေါင်းထိပ်နှင့် တန်းတူရှိအောင် ညှိရသည် ဘာကြောင့်လဲ။,,It reduces the risk of whiplash injury in a rear-end collision,"It only affects driver comfort, not safety",It improves fuel efficiency,နောက်ဖက်မှ တိုက်မိမှုဖြစ်ပါက လည်ပင်းဒဏ်ရာ (whiplash) ဖြစ်နိုင်ခြေကို လျှော့ချသည်,ယာဉ်မောင်းသူ၏ သက်တောင့်သက်သာမှုကိုသာ ထိခိုက်ပြီး ဘေးကင်းရေးနှင့် မသက်ဆိုင်ပါ,လောင်စာထိရောက်မှုကို တိုးတက်စေသည်,,,A,"A properly positioned headrest supports the head and neck during a rear-end collision, significantly reducing the risk of whiplash injury.",မှန်ကန်စွာ ညှိထားသော headrest သည် နောက်ဖက်မှ တိုက်မိမှုဖြစ်ချိန် ခေါင်းနှင့်လည်ပင်းကို ထောက်ပံ့ပေးပြီး လည်ပင်းဒဏ်ရာဖြစ်နိုင်ခြေကို သိသိသာသာ လျှော့ချသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0106,safe_practices,legacy.safe_practices,easy,,What should a driver check about their windscreen wipers before a journey in the rainy season?,မိုးရွာသွန်းရာသီတွင် ခရီးမစခင် ယာဉ်မောင်းသူသည် ရှေ့ဖန်သားပြင်သုတ်စက် (windscreen wiper) နှင့်ပတ်သက်၍ ဘာကို စစ်ဆေးသင့်သလဲ။,,"That the wiper blades are not worn, cracked, or smearing the windscreen",Only the colour of the wiper blades,Nothing — wipers never need checking,သုတ်စက်အသွား (blade) များ ပျက်စီးခြင်း၊ ကွဲအက်ခြင်း သို့မဟုတ် ဖန်သားပြင်ပေါ်ပွတ်တိုက်ခြင်း မရှိကြောင်း,သုတ်စက်အသွားများ၏ အရောင်ကိုသာ,မည်သည့်အရာမျှ — သုတ်စက်များကို စစ်ဆေးရန် မလိုပါ,,,A,"Worn or cracked wiper blades smear water and reduce visibility in rain, which is dangerous — they should be checked and replaced as needed.",ပျက်စီးနေသော သို့မဟုတ် ကွဲအက်နေသော သုတ်စက်အသွားများသည် ရေကိုပွတ်တိုက်ပြီး မိုးရွာချိန် မြင်နိုင်စွမ်းကို လျှော့ချသည် — အန္တရာယ်ရှိသောကြောင့် လိုအပ်ပါက ပြောင်းလဲသင့်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0107,safe_practices,legacy.safe_practices,medium,,Why should the driver and front passenger avoid placing heavy or rigid objects on the dashboard?,ယာဉ်မောင်းသူနှင့် ရှေ့နေရာထိုင်သူသည် ဒက်ရှ်ဘုတ်ပေါ်တွင် လေးလံ သို့မဟုတ် မာကျောသော အရာဝတ္ထုများ မထားသင့်သည် ဘာကြောင့်လဲ။,,They can become dangerous projectiles during sudden braking or a collision,They only make the dashboard look untidy,They improve airbag performance,ရုတ်တရက်ဘရိတ်နှိပ်ခြင်း သို့မဟုတ် တိုက်မိမှုဖြစ်ချိန် အန္တရာယ်ရှိသော ပစ္စည်းပျံများ ဖြစ်လာနိုင်သည်,ဒက်ရှ်ဘုတ်ကို မသပ်ရှင်းအောင် ပြုလုပ်သည်သာ,လေအိတ်စွမ်းရည်ကို တိုးတက်စေသည်,,,A,"During sudden braking or a crash, loose heavy objects can fly forward at high speed and injure occupants — they should be stored securely instead.",ရုတ်တရက်ဘရိတ်နှိပ်ခြင်း သို့မဟုတ် တိုက်မိမှုဖြစ်ချိန် ရွေ့လျားနေသော လေးလံအရာဝတ္ထုများသည် မြန်နှုန်းမြင့်စွာ ရှေ့သို့ပျံသန်းကာ ယာဉ်တွင်းရှိသူများကို ဒဏ်ရာရစေနိုင်သည် — လုံခြုံစွာ သိမ်းဆည်းသင့်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0108,safe_practices,btt.signs.information,hard,,"What should a driver do immediately after a minor accident with no injuries, before moving the vehicles?",ဒဏ်ရာမရှိသော သေးငယ်သည့် မတော်တဆမှုဖြစ်ပြီးနောက် ယာဉ်များကို မရွှေ့မီ ယာဉ်မောင်းသူ ချက်ချင်း ဘာလုပ်သင့်သလဲ။,,"Switch on hazard lights and, if safe, take photos of the scene and vehicle positions before moving them",Drive away immediately without exchanging any information,Argue with the other driver about fault before doing anything else,ဘေးအန္တရာယ်မီးများကို ဖွင့်ပြီး၊ ဘေးကင်းပါက ယာဉ်များကို မရွှေ့မီ မတော်တဆမှုနေရာနှင့် ယာဉ်နေရာချထားမှုများကို ဓာတ်ပုံရိုက်ပါ,မည်သည့်အချက်အလက်မှ မဖလှယ်ဘဲ ချက်ချင်းမောင်းထွက်သွားပါ,အခြားအရာမလုပ်မီ အခြားယာဉ်မောင်းသူနှင့် အပြစ်အကြောင်း ငြင်းခုံပါ,,,A,"Hazard lights warn other road users, and photographing the scene preserves evidence for insurance claims before vehicles are moved out of necessity.",ဘေးအန္တရာယ်မီးများသည် အခြားလမ်းသွားလမ်းလာများကို သတိပေးပြီး၊ ဓာတ်ပုံရိုက်ထားခြင်းသည် ယာဉ်များကို လိုအပ်ချက်အရ ရွှေ့မီ အာမခံတောင်းခံမှုအတွက် သက်သေအထောက်အထားများ ထိန်းသိမ်းနိုင်စေသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0109,safe_practices,legacy.safe_practices,medium,,"Why is it important to check coolant level regularly, especially before a long drive?",အထူးသဖြင့် ခရီးရှည်မထွက်မီ ရေအေးပိုက် (coolant) အဆင့်ကို ပုံမှန်စစ်ဆေးခြင်းသည် အရေးကြီးသည် ဘာကြောင့်လဲ။,,Low coolant can cause the engine to overheat and suffer serious damage,Coolant level only affects the air-conditioning,It has no effect on the engine at all,ရေအေးပိုက်နည်းခြင်းသည် အင်ဂျင်ကို အပူလွန်ကဲစွာတက်ပြီး ပြင်းထန်စွာ ပျက်စီးစေနိုင်သည်,ရေအေးပိုက်အဆင့်သည် လေအေးစက်ကိုသာ ထိခိုက်သည်,အင်ဂျင်ကို လုံးဝမထိခိုက်ပါ,,,A,"Coolant keeps the engine at a safe operating temperature; running low can lead to overheating, which can cause expensive and dangerous engine damage.",ရေအေးပိုက်သည် အင်ဂျင်ကို ဘေးကင်းသော အပူချိန်တွင် ထားရှိပေးသည် — နည်းပါးခြင်းသည် အပူလွန်ကဲမှုကို ဖြစ်စေနိုင်ပြီး ကုန်ကျစရိတ်များပြီး အန္တရာယ်ရှိသော အင်ဂျင်ပျက်စီးမှုကို ဖြစ်စေနိုင်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0110,safe_practices,btt.signs.pedestrian,easy,,What should a driver do before reversing out of a parking space?,ကားရပ်နားနေရာမှ ကားနောက်ပြန်မောင်းမှီ ယာဉ်မောင်းသူ ဘာလုပ်သင့်သလဲ။,,"Check mirrors and blind spots, and look over the shoulder for pedestrians or vehicles",Sound the horn loudly and reverse quickly without looking,Trust the rear camera alone without checking mirrors,ကြေးမှန်များနှင့် မမြင်ရသောထောင့်များကို စစ်ဆေးပြီး၊ ခြေလျင်သွားလာသူများ သို့မဟုတ် ယာဉ်များအတွက် လှည့်ကြည့်ပါ,ဟွန်းကို ကျယ်လောင်စွာတီးပြီး မကြည့်ဘဲ မြန်မြန်နောက်ပြန်မောင်းပါ,ကြေးမှန်များမစစ်ဆေးဘဲ နောက်ကင်မရာကိုသာ ယုံကြည်ပါ,,,A,"Mirrors, blind-spot checks, and a direct look over the shoulder together give the fullest picture of pedestrians, cyclists, or vehicles that a camera alone might miss.",ကြေးမှန်များ၊ မမြင်ရသောထောင့်စစ်ဆေးမှုနှင့် ကျောကုန်းကျော်ကြည့်ခြင်းတို့ပေါင်းစည်းခြင်းက ကင်မရာတစ်ခုတည်းထက် ခြေလျင်သွားလာသူ၊ စက်ဘီးသမား သို့မဟုတ် ယာဉ်များကို ပိုမိုပြည့်စုံစွာ မြင်နိုင်စေသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0111,safe_practices,btt.rules.alcohol,medium,,"Why should a driver avoid driving when feeling very drowsy, even for a short distance?",ယာဉ်မောင်းသူသည် အလွန်အိပ်ငိုက်နေချိန် အကွာအဝေးတိုသာဖြစ်စေ မောင်းနှင်ခြင်းကို ရှောင်ကြဉ်သင့်သည် ဘာကြောင့်လဲ။,,Drowsiness slows reaction time similarly to alcohol and can cause the driver to momentarily fall asleep,Drowsiness has no measurable effect on driving ability,"Drowsiness only matters for long highway trips, not short trips",အိပ်ငိုက်ခြင်းသည် အရက်နှင့်ဆင်တူစွာ တုံ့ပြန်မှုအချိန်ကို နှေးကွေးစေပြီး ယာဉ်မောင်းသူ ခေတ္တအိပ်ပျော်သွားနိုင်သည်,အိပ်ငိုက်ခြင်းသည် ယာဉ်မောင်းနှင်စွမ်းရည်ကို တိုင်းတာနိုင်သော အကျိုးသက်ရောက်မှု မရှိပါ,အိပ်ငိုက်ခြင်းသည် အမြန်လမ်းမ ခရီးရှည်များအတွက်သာ အရေးကြီးပြီး ခရီးတိုများအတွက် မဟုတ်ပါ,,,A,Driving while drowsy impairs reaction time and judgement and can lead to 'microsleeps' even on short trips — it is safer to rest before driving.,အိပ်ငိုက်စဉ် မောင်းနှင်ခြင်းသည် တုံ့ပြန်မှုအချိန်နှင့် ဆုံးဖြတ်ချက်ကို ထိခိုက်စေပြီး ခရီးတိုများတွင်ပင် 'microsleep' ဖြစ်စေနိုင်သည် — မောင်းနှင်မီ နားနေသင့်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0112,safe_practices,legacy.safe_practices,hard,,"If a tyre suddenly bursts while driving at speed, what is the safest response?",အမြန်နှုန်းမြင့်စွာ မောင်းနှင်နေစဉ် ဘီးတစ်ခု ရုတ်တရက်ပေါက်သွားလျှင် ဘေးကင်းဆုံး တုံ့ပြန်မှုက ဘာဖြစ်သလဲ။,,"Keep a firm grip on the steering, ease off the accelerator gradually, and brake gently once the car is under control",Brake hard immediately,Turn the steering wheel sharply to compensate,ဘီးကိုလက်တင်းကိုင်ထားပြီး အရှိန်ကို တဖြည်းဖြည်းလျှော့ပါ၊ ကားကို ထိန်းချုပ်နိုင်မှသာ ဘရိတ်ကို ညင်သာစွာနှိပ်ပါ,ချက်ချင်း ဘရိတ်ကို ပြင်းပြင်းနှိပ်ပါ,ထိန်းညှိရန် ဘီးကို ပြင်းပြင်းကွေ့ပါ,,,A,Sudden hard braking or sharp steering after a blowout can cause loss of control; gradually easing off the accelerator while holding the wheel steady is safer.,ဘီးပေါက်ပြီးနောက် ရုတ်တရက် ပြင်းပြင်းဘရိတ်နှိပ်ခြင်း သို့မဟုတ် ပြင်းပြင်းကွေ့ခြင်းသည် ထိန်းချုပ်မှုလွတ်သွားစေနိုင်သည် — ဘီးကို တည်ငြိမ်စွာကိုင်ထားပြီး အရှိန်ကို တဖြည်းဖြည်းလျှော့ခြင်းသည် ပိုဘေးကင်းသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0113,special_situations,btt.signs.regulatory,easy,,"What is the speed limit within a marked school zone during the posted hours, unless otherwise signed?",ဖော်ပြထားသော အချိန်အတွင်း အမှတ်အသားပြုထားသော ကျောင်းဇုန်အတွင်း ဆိုင်းဘုတ်က အခြားနည်းမဖော်ပြလျှင် အမြန်နှုန်းကန့်သတ်ချက် ဘယ်လောက်ဖြစ်သလဲ။,,40 km/h,60 km/h,80 km/h,၄၀ km/h,၆၀ km/h,၈၀ km/h,,,A,Enhanced school zones in Singapore have a reduced speed limit (40 km/h) during posted hours to protect children near schools.,Singapore ရှိ မြှင့်တင်ထားသော ကျောင်းဇုန်များတွင် ကျောင်းအနီး ကလေးငယ်များကို ကာကွယ်ရန် ဖော်ပြထားသောအချိန်အတွင်း အမြန်နှုန်းကန့်သတ်ချက် (၄၀ km/h) လျှော့ထားသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0114,special_situations,btt.signs.mandatory,medium,,"At a zebra (uncontrolled pedestrian) crossing with no traffic light, what must a driver do when a pedestrian is waiting to cross?",မီးပွိုင့်မရှိသော zebra (ထိန်းချုပ်ထားခြင်းမရှိသော) ဖြတ်ကျော်လမ်းတွင် ခြေလျင်သွားလာသူတစ်ဦး ဖြတ်ကျော်ရန် စောင့်နေလျှင် ယာဉ်မောင်းသူ ဘာလုပ်ရမည်လဲ။,,Slow down and be prepared to stop to give way to the pedestrian,Speed up to pass before the pedestrian starts crossing,Sound the horn and continue without slowing,အရှိန်လျှော့ပြီး ခြေလျင်သွားလာသူအတွက် လမ်းဖယ်ပေးရန် ရပ်ရန်အသင့်ပြင်ဆင်ထားပါ,ခြေလျင်သွားလာသူ မဖြတ်ခင် ကျော်ဖြတ်ရန် အရှိန်တိုးပါ,ဟွန်းတီးပြီး အရှိန်မလျှော့ဘဲ ဆက်သွားပါ,,,A,Drivers must give way to pedestrians at zebra crossings; slowing down and being ready to stop protects vulnerable road users.,ယာဉ်မောင်းသူများသည် zebra ဖြတ်ကျော်လမ်းများတွင် ခြေလျင်သွားလာသူများကို လမ်းဖယ်ပေးရမည် — အရှိန်လျှော့ပြီး ရပ်ရန်အသင့်ထားခြင်းသည် ထိခိုက်လွယ်သော လမ်းသုံးသူများကို ကာကွယ်ပေးသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0115,special_situations,btt.signs.information,medium,,"When approaching a mini-roundabout, which vehicles generally have right of way?",ဝိုင်းသေးလမ်းဆုံကို ချဉ်းကပ်ချိန် ပုံမှန်အားဖြင့် ဘယ်ယာဉ်များ ဦးစားပေးအခွင့်ရှိသလဲ။,,"Vehicles already on the roundabout, approaching from the right",Vehicles entering the roundabout always have priority,Whichever vehicle arrives first regardless of direction,ဝိုင်းပေါ်တွင် ရှိနှင့်ပြီးသော ညာဘက်မှ ချဉ်းကပ်လာသည့် ယာဉ်များ,ဝိုင်းသို့ ဝင်လာသော ယာဉ်များက အမြဲတမ်း ဦးစားပေးခံရသည်,ဦးတည်ရာ မည်သို့မဆို ဦးဆုံးရောက်လာသော ယာဉ်,,,A,"At roundabouts, traffic already circulating (approaching from the right) generally has priority over vehicles entering.",ဝိုင်းလမ်းဆုံများတွင် ဝိုင်းပေါ်ရှိနှင့်ပြီးသော (ညာဘက်မှ ချဉ်းကပ်လာသော) ယာဉ်များသည် ဝိုင်းထဲ ဝင်လာသော ယာဉ်များထက် ပုံမှန်အားဖြင့် ဦးစားပေးခံရသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0116,special_situations,btt.signs.mandatory,easy,,What must a driver do when an ambulance approaches from behind with its siren and lights on?,နောက်ဘက်မှ ဆိုင်ရင်းတီးပြီး မီးထွန်းထားသော လူနာတင်ယာဉ် ချဉ်းကပ်လာလျှင် ယာဉ်မောင်းသူ ဘာလုပ်ရမည်လဲ။,,Move over safely to clear a path and let it pass as soon as possible,Speed up to stay ahead of it,Stop in the middle of the lane and block the road,ဘေးကင်းစွာ ဖယ်ပေးပြီး နိုင်နင်းသမျှ မြန်မြန် ဖြတ်သွားနိုင်ရန် လမ်းဖွင့်ပေးပါ,၎င်းရှေ့တွင် ဆက်ရှိနေရန် အရှိန်တိုးပါ,လမ်းကြောင်းအလယ်တွင် ရပ်ပြီး လမ်းကို ပိတ်ဆို့ပါ,,,A,Emergency vehicles need priority access; drivers should move over safely (without breaking other rules dangerously) to let them pass quickly.,အရေးပေါ်ယာဉ်များသည် ဦးစားပေးဖြတ်သန်းခွင့် လိုအပ်သည် — ယာဉ်မောင်းသူများသည် (အခြားစည်းကမ်းများကို အန္တရာယ်ဖြစ်စွာ မချိုးဖောက်ဘဲ) ဘေးကင်းစွာ ဖယ်ပေးပြီး မြန်မြန်ဖြတ်သွားနိုင်ရန် လမ်းဖွင့်ပေးသင့်သည်။,,,,,,,,,,PENDING,
